GuidelineCode,Title,Category,Step,Status,Dated,Summary,SourceUrl
S7B,The Non-Clinical Evaluation of the Potential for Delayed Ventricular Repolarization (QT Interval Prolongation) by Human Pharmaceuticals,Safety Guidelines,Step 4,Under Development,05/12/2005 00:00:00,The ICH Harmonised Guideline was adopted under Step 4 in May 2005. This Guideline describes a non-clinical testing strategy for assessing the potential of a test substance to delay ventricular repolarization. This Guideline includes information concerning non-clinical assays and integrated risk assessments.,https://www.ich.org/page/safety-guidelines
E14/S7B,First Round Questions & Answers: Clinical and Nonclinical Evaluation of QT/QTc Interval Prolongation and Proarrhythmic Potential,Safety Guidelines,Step 4,Under Development,02/21/2022 00:00:00,"In November 2018, the Assembly endorsed the establishment of the E14/S7B Implementation Working Group (IWG) for the development of Q&As for the ICH E14 and ICH S7B Guidelines. ICH S7B and ICH E14 describe nonclinical and clinical risk assessment strategies to inform the potential risk for proarrhythmia of a test substance and contribute to the design of clinical investigations. Emergent data over the past several years demonstrate that different experimental results can arise for the same compound as a function of the study conditions used in nonclinical assays. The E14/S7B IWG will build on work done by the former E14/S7B Discussion Group (DG) which discussed the advances in science and methods related to the clinical assessment of QT prolongation and worked on the Comprehensive in vitro Proarrhythmia Assessment (CiPA) initiative.",https://www.ich.org/page/safety-guidelines
S8,Immunotoxicity Studies for Human Pharmaceuticals,Safety Guidelines,Step 4,Under Development,09/15/2005 00:00:00,"The ICH Harmonised Guideline was adopted under Step 4 in September 2005. This Guideline provides recommendations on nonclinical testing approaches to identify compounds which have the potential to be immunotoxic, and guidance on a weight-of-evidence decision making approach for immunotoxicity testing It applies to new pharmaceuticals intended for use in humans, as well as to marketed pharmaceuticals proposed for different indications or other variations on the current product label in which the change could result in unaddressed and relevant immunotoxicity issues.",https://www.ich.org/page/safety-guidelines
S9,Nonclinical Evaluation for Anticancer Pharmaceuticals,Safety Guidelines,Step 4,Under Development,11/18/2009 00:00:00,"The ICH Harmonised Guideline was adopted under Step 4 in October 2009. This Guideline provides information for pharmaceuticals that are intended to treat cancer in patients with late stage or advanced disease regardless of the route of administration, including both small molecule and biotechnology-derived pharmaceuticals. It describes the type and timing of nonclinical studies in relation to the development of anticancer pharmaceuticals and references other guidance as appropriate.",https://www.ich.org/page/safety-guidelines
S9 Q&As,Questions and Answers: Nonclinical Evaluation for Anticancer Pharmaceuticals,Safety Guidelines,Step 4,Under Development,04/27/2018 00:00:00,"The document was adopted under Step 4 in June 2018. Since reaching Step 4 and publication within the ICH regions, experiences by all parties with the implementation of the S9 Guideline on nonclinical evaluation for anticancer pharmaceuticals have resulted in the need for some clarification. The Questions and Answers developed by the S9 Implementation Working Group (IWG) are intended to facilitate the implementation of the S9 Guideline clarifying its scope as well as its interpretation and implementation.",https://www.ich.org/page/safety-guidelines
S10,Photosafety Evaluation of Pharmaceuticals,Safety Guidelines,Step 4,Under Development,11/13/2013 00:00:00,"The ICH Harmonised Guideline was finalised under Step 4 in November 2013. This Guideline provides international standards for photosafety assessment and harmonises such assessments supporting human clinical trials and marketing authorizations for pharmaceuticals. It includes factors for initiation of and triggers for additional photosafety assessment and should be read in conjunction with ICH M3(R2), Section 14 on Photosafety Testing.",https://www.ich.org/page/safety-guidelines
S11,Nonclinical Safety Testing in Support of Development of Paediatric Medicines,Safety Guidelines,Step 4,Under Development,04/14/2020 00:00:00,"The S11 Guideline provides direction on the nonclinical safety studies important to support a paediatric development programme. It recommends standards for the conditions under which nonclinical juvenile animal testing is considered informative and necessary to support paediatric clinical trials, and also provides guidance on the design of the studies.",https://www.ich.org/page/safety-guidelines
S12,Nonclinical Biodistribution Considerations for Gene Therapy Products,Safety Guidelines,Step 4,Under Development,03/14/2023 00:00:00,This topic was endorsed by the ICH Assembly in June 2019.,https://www.ich.org/page/safety-guidelines
S13 EWG,Nonclinical Safety Studies for Oligonucleotide-based Therapeutics,Safety Guidelines,,Retired,01/01/0001 00:00:00,"This topic was endorsed by the ICH Assembly in June 2023, and an Expert Working Group (EWG) has been established to develop a final Concept Paper.",https://www.ich.org/page/safety-guidelines
E1,The Extent of Population Exposure to Assess Clinical Safety for Drugs Intended for Long-Term Treatment of Non-Life Threatening Conditions,Efficacy Guidelines,Step 4,Under Development,10/27/1994 00:00:00,The ICH harmonised Guideline was finalised under Step 4 in October 1994. This document gives recommendations on the numbers of patients and duration of exposure for the safety evaluation of drugs intended for the long-term treatment of non-life-threatening conditions.,https://www.ich.org/page/efficacy-guidelines
E2A,Clinical Safety Data Management: Definitions and Standards for Expedited Reporting,Efficacy Guidelines,Step 4,Under Development,10/27/1994 00:00:00,The ICH Harmonised Guideline was finalised under Step 4 in October 1994. This document gives standard definitions and terminology for key aspects of clinical safety reporting. It also gives guidance on mechanisms for handling expedited (rapid) reporting of adverse drug reactions in the investigational phase of drug development.,https://www.ich.org/page/efficacy-guidelines
E2B(R3),Clinical Safety Data Management: Data Elements for Transmission of Individual Case Safety Reports (ICSRs),Efficacy Guidelines,Step 4,Under Development,11/01/2012 00:00:00,"ICH E2B EWG was re-formed to conduct a revision of E2B(R2) Guideline in 2003 and in May 2005 a revised Guideline, E2B(R3), was released for public consultation.",https://www.ich.org/page/efficacy-guidelines
E2B(R3) EWG/IWG,Electronic Transmission of Individual Case Safety Reports (ICSRs),Efficacy Guidelines,,Retired,01/01/0001 00:00:00,"In July 2013, the ICH Steering Committee endorsed the establishment of the IWG on E2B(R3) to progress implementation activities and ensure transition from E2B(R2) to E2B(R3). The E2B(R3) Implementation Package, Q&As and further information is available on the ESTRI page.",https://www.ich.org/page/efficacy-guidelines
E2B(R3) Q&As,Clinical Safety Data Management: Data Elements for Transmission of Individual Case Safety Reports,Efficacy Guidelines,Step 4,Under Development,07/18/2025 00:00:00,"In July 2013, the ICH Steering Committee endorsed the establishment of the IWG on E2B(R3) to assist with the implementation of the E2B(R3) Implementation Guide (published in July 2013) and help facilitate transition from E2B(R2) to E2B(R3). Included in its tasks is support for the use of constrained ISO IDMP terminologies in ICSRs, as well as maintenance of technical documents related to E2B(R3).",https://www.ich.org/page/efficacy-guidelines
E2C(R2),Periodic Benefit-Risk Evaluation Report,Efficacy Guidelines,Step 4,Under Development,12/17/2012 00:00:00,"The ICH Harmonised Guideline was finalised under Step 4 in November 1996. This document gives guidance on the format and content of safety updates, which need to be provided at intervals to regulatory authorities after products have been marketed. The Guideline is intended to ensure that the worldwide safety experience is provided to authorities at defined times after marketing with maximum efficiency and avoiding duplication of effort.",https://www.ich.org/page/efficacy-guidelines
E2C(R2) Q&As,Questions & Answers: Periodic Benefit-Risk Evaluation Report,Efficacy Guidelines,Step 4,Under Development,03/31/2014 00:00:00,The revision E2C(R2) to E2C has introduced new concepts and principles linked to an evolution of the traditional PSUR from an interval safety report to cumulative benefit-risk report and with a change in focus from individual case reports to more aggregate data evaluation.,https://www.ich.org/page/efficacy-guidelines
E2D,Post-Approval Safety Data Management: Definitions and Standards for Expedited Reporting,Efficacy Guidelines,Step 4,Under Development,11/12/2003 00:00:00,"The ICH Harmonised Guideline was finalised under Step 4 in November 2003. This document provides a standardised procedure for post-approval safety data management and the guidance for gathering and reporting information. This Guideline is based on the content of ICH E2A Guideline, with consideration as to how the terms and definitions can be applied in the post-approval phase of the product life cycle.",https://www.ich.org/page/efficacy-guidelines
E2D(R1),Post-Approval Safety Data: Definitions and Standards for Management and Reporting of Individual Case Safety Reports,Efficacy Guidelines,Step 4,Under Development,09/15/2025 00:00:00,This topic was endorsed by the ICH Assembly in June 2019.,https://www.ich.org/page/efficacy-guidelines
E2E,Pharmacovigilance Planning,Efficacy Guidelines,Step 4,Under Development,11/18/2004 00:00:00,The ICH Harmonised Guideline was finalised under Step 4 in November 2004.,https://www.ich.org/page/efficacy-guidelines
E2F,Development Safety Update Report,Efficacy Guidelines,Step 4,Under Development,08/17/2010 00:00:00,"The ICH Harmonised Guideline was finalised under Step 4 in August 2010. The Development Safety Update Report (DSUR) proposed in this Guideline is intended to be a common standard for periodic reporting on drugs under development (including marketed drugs that are under further study) among the ICH regions. The main focus of the DSUR is data and findings from interventional clinical trials (referred to as ""clinical trials"") of drugs and biologicals that are under investigation, whether or not they have a marketing approval.",https://www.ich.org/page/efficacy-guidelines
E3,Structure and Content of Clinical Study Reports,Efficacy Guidelines,Step 4,Under Development,11/30/1995 00:00:00,The ICH Harmonised Guideline was finalised under Step 4 in November 1995. This document describes the format and content of a clinical study report that will be acceptable to all regulatory authorities of the ICH regions. It consists of a core report suitable for all submissions and appendices that need to be available but will not be submitted in all cases.,https://www.ich.org/page/efficacy-guidelines
E3 Q&As (R1),Questions & Answers: Structure and Content of Clinical Study Reports,Efficacy Guidelines,Step 4,Under Development,07/06/2012 00:00:00,"Since reaching Step 4 and publication within the ICH regions, experiences by all parties with the implementation of the E3 Guideline have resulted in the need for some clarification. This supplementary Questions and Answers document intends to clarify key issues. In July 2012, minor typographical errors were corrected in the Answer to Question 6 and the document was renamed R1.",https://www.ich.org/page/efficacy-guidelines
E4,Dose-Response Information to Support Drug Registration,Efficacy Guidelines,Step 4,Under Development,03/10/1994 00:00:00,"The ICH Harmonised Guideline was finalised under Step 4 in March 1994. This document gives recommendations on the design and conduct of studies to assess the relationships among dose, drug-concentration in blood, and clinical response throughout the clinical development of a new drug.",https://www.ich.org/page/efficacy-guidelines
E5(R1),Ethnic Factors in the Acceptability of Foreign Clinical Data,Efficacy Guidelines,Step 4,Under Development,02/05/1998 00:00:00,The ICH Harmonised Guideline was finalised under Step 4 in February 1998.,https://www.ich.org/page/efficacy-guidelines
E5 Q&As (R1),Questions & Answers: Ethnic Factors in the Acceptability of Foreign Clinical Data,Efficacy Guidelines,Step 4,Under Development,06/02/2006 00:00:00,"Since reaching Step 4 and publication within the ICH regions, experiences by all parties with the implementation of the E5 Guideline have resulted in the need for some clarification. This supplementary Questions and Answers document intends to clarify key issues.",https://www.ich.org/page/efficacy-guidelines
E6(R3),Good Clinical Practice (GCP),Efficacy Guidelines,Step 5,Finalised,01/01/0001 00:00:00,,https://www.ich.org/page/efficacy-guidelines
E6(R3) Good Clinical Practice (GCP) Annex 2,,Efficacy Guidelines,Step 5,Finalised,01/01/0001 00:00:00,"ICH E6 is an internationally recognised Good Clinical Practice standard for the ethical, scientific and quality conduct of clinical trials involving human participants. In the two decades since ICH E6 was first published, clinical trials have become more complex with respect to trial design, use of technology, quantity of data collected and involvement of central testing facilities or other service providers. The latest revision, ICH E6(R3), addresses the complexities of clinical trials in the current global regulatory climate and builds on key concepts outlined in ICH E8(R1): General Considerations for Clinical Studies. 

The ICH E6(R3) guideline on Good Clinical Practice (GCP), comprising the Principles, Annex 1 and Annex 2, was adopted in two stages. The Principles and Annex 1 were adopted on 6 January 2025, introducing a flexible, risk-based framework for interventional clinical trials that accommodates a modern approach to the design and conduct of clinical trials. Annex 2 was subsequently adopted on 3 June 2026, providing additional GCP considerations tailored to the evolving clinical trial landscape, covering decentralised elements, pragmatic elements and the use of real-world data. Because Annex 2 builds upon the foundations established in the Principles and Annex 1 and is not intended to be read in isolation, all three have been consolidated into a single unified ICH E6(R3) guideline. 

Note: As implementation of the Principles and Annex 1 was already underway before the adoption of Annex 2, ICH will temporarily make Annex 2 available as a standalone document to help stakeholders easily locate and apply the new content. This standalone version will be available through the end of 2026 only.",https://www.ich.org/page/efficacy-guidelines
E7,Studies in Support of Special Populations: Geriatrics,Efficacy Guidelines,Step 4,Under Development,06/24/1993 00:00:00,"The ICH Harmonised Guideline was finalised under Step 4 in June 1993. This document provides recommendations on the special considerations, which apply in the design and conduct of clinical trials of medicines that are likely to have significant use in the elderly.",https://www.ich.org/page/efficacy-guidelines
E7 Q&As,Questions & Answers: Studies in Support of Special Populations : Geriatrics,Efficacy Guidelines,Step 4,Under Development,07/16/2010 00:00:00,"Since reaching Step 4 and publication within the ICH regions, experiences by all parties with the implementation of the E7 Guideline have resulted in the need for some clarification. This supplementary Questions and Answers document intends to clarify key issues.",https://www.ich.org/page/efficacy-guidelines
E8(R1),General Considerations for Clinical Studies,Efficacy Guidelines,Step 4,Under Development,10/06/2021 00:00:00,"This version of the ICH E8 General Considerations for Clinical Studies Guideline was finalised in October 2021 and sets out general principles on the conduct of clinical studies, with the objectives of the document being to: (1) Describe internationally accepted principles and practices in the design and conduct of clinical studies that will ensure the protection of study participants and facilitate acceptance of data and results by regulatory authorities; (2) Provide guidance on the consideration of quality in the design and conduct of clinical studies across the product lifecycle; (3) Provide an overview of the types of clinical studies performed during the product lifecycle and describe study design elements; and (4) Provide a guide to the ICH efficacy documents to facilitate user's access. The modernisation of ICH E8 is the first step towards the GCP Renovation initiated in 2017.",https://www.ich.org/page/efficacy-guidelines
E9,Statistical Principles for Clinical Trials,Efficacy Guidelines,Step 4,Under Development,02/05/1998 00:00:00,"The ICH Harmonised Guideline was finalised under Step 4 in February 1998. This document sets out the principles of statistical methodology applied to clinical trials for marketing applications submitted in the ICH regions. The principles outlined in this guidance are primarily relevant to clinical trials conducted in the later phases of development, many of which are confirmatory trials of efficacy.",https://www.ich.org/page/efficacy-guidelines
E9(R1),Addendum: Statistical Principles for Clinical Trials,Efficacy Guidelines,Step 4,Under Development,11/20/2019 00:00:00,"The Addendum provides clarification on E9 and an update on the choice of estimand in clinical trials to describe an agreed framework for planning, conducting and interpreting sensitivity analyses of clinical trial data. This Addendum focuses on statistical principles related to estimands and sensitivity analysis, not on the use or acceptability of specific statistical procedures or methods. The primary focus of the Addendum is on confirmatory clinical trials.",https://www.ich.org/page/efficacy-guidelines
E10,Choice of Control Group and Related Issues in Clinical Trials,Efficacy Guidelines,Step 4,Under Development,07/20/2000 00:00:00,The ICH harmonised Guideline was finalised under Step 4 in July 2000. This document addresses the choice of control groups in clinical trials considering the ethical and inferential properties and limitations of different kinds of control groups. It points out the assay sensitivity problem in active control equivalence / non-inferiority trials that limits the usefulness of trial design in many circumstances.,https://www.ich.org/page/efficacy-guidelines
E11(R1),Clinical Investigation of Medicinal Products in the Pediatric Population: Guideline and Addendum,Efficacy Guidelines,Step 4,Under Development,08/18/2017 00:00:00,"Since the adoption of the ICH E11 Guideline on Clinical Investigation of Medicinal Products in the Pediatric Population in 2000, pediatric drug development has been enhanced by advancements in several areas of general adult drug development.",https://www.ich.org/page/efficacy-guidelines
E11A EWG,Paediatric Extrapolation,Efficacy Guidelines,Step 5,Finalised,01/01/0001 00:00:00,This topic was endorsed by the ICH Assembly in June 2017.,https://www.ich.org/page/efficacy-guidelines
E12,Principles for Clinical Evaluation of New Antihypertensive Drugs,Efficacy Guidelines,,Retired,01/01/0001 00:00:00,"This therapeutic area document considers the Clinical Evaluation of New Antihypertensive Drugs. It provides a set of ""Principles"" on which there is general agreement among all ICH regions covering endpoints and trial designs.",https://www.ich.org/page/efficacy-guidelines
E14,The Clinical Evaluation of QT/QTc Interval Prolongation and Proarrhythmic Potential for Non-Antiarrhythmic Drugs,Efficacy Guidelines,Step 4,Under Development,05/12/2005 00:00:00,The ICH harmonised Guideline was finalised under Step 4 in May 2005.,https://www.ich.org/page/efficacy-guidelines
E14 Q&As (R3),Questions & Answers: The Clinical Evaluation of QT/QTc Interval Prolongation and Proarrhythmic Potential for Non-Antiarrhythmic Drugs,Efficacy Guidelines,Step 4,Under Development,12/10/2015 00:00:00,"Since reaching Step 4 and publication within the ICH regions, experiences by all parties with the implementation of the E14 Guideline have resulted in the need for some clarification. The Questions and Answers developed by the E14 Implementation Working Group (IWG) are intended to facilitate the implementation of the E14 Guideline by clarifying key issues. The document with the first set of Q&As was finalised under Step 4 in June 2008.",https://www.ich.org/page/efficacy-guidelines
E14/S7B,First Round Questions & Answers: Clinical and Nonclinical Evaluation of QT/QTc Interval Prolongation and Proarrhythmic Potential,Efficacy Guidelines,Step 4,Under Development,02/21/2022 00:00:00,"In November 2018, the Assembly endorsed the establishment of the E14/S7B Implementation Working Group (IWG) for the development of Q&As for the ICH E14 and ICH S7B Guidelines. ICH S7B and ICH E14 describe nonclinical and clinical risk assessment strategies to inform the potential risk for proarrhythmia of a test substance and contribute to the design of clinical investigations. Emergent data over the past several years demonstrate that different experimental results can arise for the same compound as a function of the study conditions used in nonclinical assays. The E14/S7B IWG will build on work done by the former E14/S7B Discussion Group (DG) which discussed the advances in science and methods related to the clinical assessment of QT prolongation and worked on the Comprehensive in vitro Proarrhythmia Assessment (CiPA) initiative.",https://www.ich.org/page/efficacy-guidelines
E14/S7B DG,Clinical and Nonclinical Evaluation of QT/QTc Interval Prolongation and Proarrhythmic Potential Discussion Group,Efficacy Guidelines,,Retired,01/01/0001 00:00:00,"As of January 2023, the E14/S7B Implementation Working Group (IWG) has transitioned into a Discussion Group (DG) to evaluate implementation of first stage Q&As and outline development of second stage Q&As. At the conclusion of a one-year term, the DG has recommended next steps including returning to an IWG to develop second stage Q&As.",https://www.ich.org/page/efficacy-guidelines
E14/S7B IWG,Second Round Questions & Answers: Clinical and Nonclinical Evaluation of QT/QTc Interval Prolongation and Proarrhythmic Potential,Efficacy Guidelines,,Retired,01/01/0001 00:00:00,"In March 2024, the ICH MC endorsed the reactivation of the E14/S7B Implementation Working Group (IWG) to develop second-round Q&As for the ICH E14 and ICH S7B Guidelines. The second round of Q&As will address any outstanding gaps not captured in the first round of Q&As, which were finalized in February 2022 and provide additional clarity aimed at making the testing framework sustainable and flexible enough to limit potential regional differences in the recommended approach to this important safety endpoint for existing and emerging modalities.",https://www.ich.org/page/efficacy-guidelines
E15,"Definitions for Genomic Biomarkers, Pharmacogenomics, Pharmacogenetics, Genomic Data and Sample Coding Categories",Efficacy Guidelines,Step 4,Under Development,11/01/2007 00:00:00,The ICH Harmonised Guideline was finalised under Step 4 in November 2007.,https://www.ich.org/page/efficacy-guidelines
E16,"Biomarkers Related to Drug or Biotechnology Product Development: Context, Structure and Format of Qualification Submissions",Efficacy Guidelines,Step 4,Under Development,08/20/2010 00:00:00,"The ICH Harmonised Guideline was finalised under Step 4 in August 2010. The Guideline describes recommendations regarding context, structure, and format of regulatory submissions for qualification of genomic biomarkers, as defined in ICH E15.",https://www.ich.org/page/efficacy-guidelines
E17,General principles for planning and design of Multi-Regional Clinical Trials,Efficacy Guidelines,Step 4,Under Development,11/16/2017 00:00:00,"The ICH Harmonised Guideline was finalised under Step 4 in November 2017. This Guideline provides guidance on general principles on planning/designing Multi-Regional Clinical Trial (MRCT). Drug development has been globalised and MRCT for regulatory submission has widely been conducted in ICH regions and beyond. Regulatory agencies are currently facing some challenges in evaluating data from MRCTs for drug approval and it was deemed necessary to developed a Harmonised international Guideline to promote conducting MRCT appropriately, especially focusing on scientific issues in planning/designing MRCTs. This Guideline complements the guidance on MRCTs provided in ICH E5(R1) Guideline and facilitates MRCT data acceptance by multiple regulatory agencies.",https://www.ich.org/page/efficacy-guidelines
E17 IWG List,General principles for planning and design of Multi-Regional Clinical Trials,Efficacy Guidelines,,Retired,01/01/0001 00:00:00,"Following the adoption of the E17 Guideline on Multi-Regional Clinical Trials (MRCT), an Implementation Working Group (IWG) was established in February 2018 to promote the efficient and consistent implementation of the E17 Guideline in the context of an evolving drug development environment. The E17 IWG is developing innovative training materials on the E17 Guideline, by making effective use of multimedia materials and content delivery methods as appropriate.",https://www.ich.org/page/efficacy-guidelines
E18,Genomic Sampling and Management of Genomic Data,Efficacy Guidelines,Step 4,Under Development,09/06/2017 00:00:00,The ICH Harmonised Guideline was finalised under Step 4 in August 2017.,https://www.ich.org/page/efficacy-guidelines
E19,A Selective Approach to Safety Data Collection in Specific Late-Stage Pre-approval or Post-Approval Clinical Trials,Efficacy Guidelines,Step 4,Under Development,09/27/2022 00:00:00,The ICH Harmonised Guideline was finalised under Step 4 in September 2022.,https://www.ich.org/page/efficacy-guidelines
E20 EWG,Adaptive Designs for Clinical Trials,Efficacy Guidelines,Step 3,Under Development,01/01/0001 00:00:00,This topic was endorsed by the ICH Assembly in June 2018.,https://www.ich.org/page/efficacy-guidelines
E21 EWG,Inclusion of Pregnant and Breastfeeding Individuals in Clinical Trials,Efficacy Guidelines,Step 3,Under Development,01/01/0001 00:00:00,This topic was endorsed by the ICH Assembly in May 2022.,https://www.ich.org/page/efficacy-guidelines
E22 EWG,General Considerations for Patient Preference Studies,Efficacy Guidelines,Step 3,Under Development,01/01/0001 00:00:00,This topic was endorsed by the ICH Assembly in June 2023.,https://www.ich.org/page/efficacy-guidelines
E23 EWG,Considerations for the Use of Real-World Evidence (RWE) to Inform Regulatory Decision Making with a Focus on Effectiveness of Medicines,Efficacy Guidelines,,Retired,01/01/0001 00:00:00,"This topic was endorsed by the ICH Assembly in May 2025, and the E23 Working Group has been established to develop a final Concept Paper.",https://www.ich.org/page/efficacy-guidelines
M1,MedDRA - Medical Dictionary for Regulatory Activities,Multidisciplinary Guidelines,Step 4,Under Development,01/01/1999 00:00:00,"The development of a Medical Dictionary for Regulatory Activities (MedDRA) was approved by the ICH Steering Committee in 1997, and the terminology was launched in 1999. Due to the development of this topic over the years, all information about MedDRA and the Points to Consider documents developed for every MedDRA version are available on the MedDRA page of the ICH website. Please also visit the official MedDRA website.",https://www.ich.org/page/multidisciplinary-guidelines
M1 PtC WG,MedDRA Points to Consider,Multidisciplinary Guidelines,,Retired,01/01/0001 00:00:00,The MedDRA (Medical Dictionary for Regulatory Activities) terminology was launched in 1999.,https://www.ich.org/page/multidisciplinary-guidelines
M2 EWG,Electronic Standards for the Transfer of Regulatory Information,Multidisciplinary Guidelines,,Retired,01/01/0001 00:00:00,"The M2 Expert Working Group (EWG) was established by the ICH Steering Committee in 1994 with the objective of facilitating international electronic communication by evaluating and recommending, open and non-proprietary - to the extent possible - Electronic Standards for the Transfer of Regulatory Information (ESTRI) that will meet the requirements of the pharmaceutical companies and regulatory authorities.",https://www.ich.org/page/multidisciplinary-guidelines
M3(R2),Guidance on Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals,Multidisciplinary Guidelines,Step 4,Under Development,06/11/2009 00:00:00,The recommendations of this revised Guidance further harmonise the nonclinical safety studies to support the various stages of clinical development among the ICH regions. The present Guidance represents the consensus that exists regarding the type and duration of nonclinical safety studies and their timing to support the conduct of human clinical trials and marketing authorisation for pharmaceuticals.,https://www.ich.org/page/multidisciplinary-guidelines
M3(R2) Q&As (R2),Questions & Answers: Guidance on Nonclinical Safety Studies for the Conduct of Human Clinical Trials and Marketing Authorization for Pharmaceuticals,Multidisciplinary Guidelines,Step 4,Under Development,06/15/2011 00:00:00,"The complexity of the M3(R2) Guidance, its broader scope, and numerous changes in recommendations from the M3(R1) Guidance have generated questions that impact its successful implementation.",https://www.ich.org/page/multidisciplinary-guidelines
M5,Data Elements and Standards for Drug Dictionaries,Multidisciplinary Guidelines,,Retired,01/01/0001 00:00:00,"In November 2003, the ICH Steering Committee endorsed a Concept Paper for Topic M5 and subsequently formed the M5 EWG to develop ICH requirements for the standardisation of medicinal product identifiers and related terminology. In particular, a need was identified to harmonise product information that would facilitate the electronic exchange of Individual Case Safety Reports (ICSRs) within and across ICH regions using the ICH E2B format in post-marketing pharmacovigilance.",https://www.ich.org/page/multidisciplinary-guidelines
M6,Virus and Gene Therapy Vector Shedding and Transmission,Multidisciplinary Guidelines,,Retired,01/01/0001 00:00:00,This new topic was endorsed by the ICH Steering Committee in September 2009.,https://www.ich.org/page/multidisciplinary-guidelines
M7(R2),Assessment and Control of DNA Reactive (Mutagenic) Impurities in Pharmaceuticals to Limit Potential Carcinogenic Risk,Multidisciplinary Guidelines,Step 4,Under Development,04/03/2023 00:00:00,The ICH M7(R2) Guideline reached Step 4 of the ICH process on 3 April 2023.,https://www.ich.org/page/multidisciplinary-guidelines
M7(R2) Q&As,Assessment and Control of DNA Reactive (Mutagenic) Impurities in Pharmaceuticals to Limit Potential Carcinogenic Risk,Multidisciplinary Guidelines,Step 4,Under Development,05/24/2022 00:00:00,The ICH M7(R2) Questions and Answers (Q&As) reached Step 4 of the ICH process on 24 May 2022.,https://www.ich.org/page/multidisciplinary-guidelines
M7(R3) Maintenance EWG/IWG,Assessment and Control of DNA Reactive (Mutagenic) Impurities in Pharmaceuticals to Limit Potential Carcinogenic Risk,Multidisciplinary Guidelines,,Retired,01/01/0001 00:00:00,"The ICH M7 Guideline was finalised under Step 4 in June 2014, with a M7(R2) Guideline and Addendum reaching Step 4 of the ICH process in April 2023 and M7(R2) Q&A reaching Step 4 in May 2022.",https://www.ich.org/page/multidisciplinary-guidelines
M7 Sub-group,Risk Assessment and Control of Nitrosamine Impurities,Multidisciplinary Guidelines,,Retired,01/01/0001 00:00:00,This topic was endorsed by the ICH Assembly in June 2024  and the M7 Sub-group has been established to develop an addendum to the M7 Guideline on Assessment and Control of DNA Reactive (mutagenic) Impurities to address safety assessment and establishment of appropriate controls for nitrosamine impurities.,https://www.ich.org/page/multidisciplinary-guidelines
M8 eCTD v3.2.2,Electronic Common Technical Document (eCTD) v3.2.2,Multidisciplinary Guidelines,Step 4,Under Development,07/01/2008 00:00:00,The Implementation Guide and related documents for the ICH M8 electronic Common Technical Document (eCTD) v3.2.2 can be found on the ESTRI page.,https://www.ich.org/page/multidisciplinary-guidelines
M8 eCTD v4.0,Electronic Common Technical Document (eCTD) v4.0,Multidisciplinary Guidelines,Step 4,Under Development,12/10/2015 00:00:00,The ICH M8 electronic Common Technical Document (eCTD) v4.0 is maintained by the M8 EWG/IWG. The Implementation Guide and related documents can be found on the ESTRI page.,https://www.ich.org/page/multidisciplinary-guidelines
M8 EWG/IWG,Electronic Common Technical Document (eCTD),Multidisciplinary Guidelines,Step 5,Finalised,01/01/0001 00:00:00,"ICH M8 EWG was formed in November 2010 to take over the development and revision of eCTD v4.0 Implementation Guide and related documents from the ICH M2 eCTD Subgroup. The eCTD v4.0 requirements were addressed by the Standard Development Organisation process and are included in the Health Level Seven Version 3 Regulated Product Submission Release 2 Normative standard. At the ICH Jacksonville meeting in December 2015, the ICH eCTD v4.0 Implementation Package v1.0 and Specification for Submission Formats for eCTD v1.0 was signed off for Step 4 by the Assembly. The package was updated to v1.1 to incorporate minor edits before being published. While the v4.0 is the latest version of the eCTD, v3.2.2, originally released by ICH in July 2008, is still made available in view of time needed for users to transition to the updated version.",https://www.ich.org/page/multidisciplinary-guidelines
M9,Biopharmaceutics Classification System-based Biowaivers,Multidisciplinary Guidelines,Step 4,Under Development,11/20/2019 00:00:00,This topic was endorsed by the ICH Assembly in October 2016.,https://www.ich.org/page/multidisciplinary-guidelines
M9 Q&As,Q&As on Biopharmaceutics Classification System-based Biowaivers,Multidisciplinary Guidelines,Step 4,Under Development,11/20/2019 00:00:00,The ICH M9 Q&As provide clarity to support the implementation of the ICH M9 Guideline on Biopharmaceutics Classification System (BCS)-based biowaivers in ICH Regulatory Member countries/regions.,https://www.ich.org/page/multidisciplinary-guidelines
M10,Bioanalytical Method Validation and Study Sample Analysis,Multidisciplinary Guidelines,Step 4,Under Development,05/24/2022 00:00:00,This Guideline is intended to provide recommendations for the validation of bioanalytical methods for chemical and biological drug quantification and their application in the analysis of study samples. Adherence to the principles presented in this Guideline will ensure the quality and consistency of the bioanalytical data in support of the development and market approval of both chemical and biological drugs.,https://www.ich.org/page/multidisciplinary-guidelines
M10 Q&As,Questions and Answers: Bioanalytical Method Validation and Study Sample Analysis,Multidisciplinary Guidelines,Step 4,Under Development,11/16/2022 00:00:00,ICH M10 Q&As have been devised to provide clarity around some of the bioanalytical issues covered in the ICH M10 Guideline. The ICH M10 Q&As are intended to provide additional clarification and to promote convergence and improve harmonisation of the bioanalytical method validation and study sample analysis. The scope and organisation of this Q&A document follow that of ICH M10 Guideline.,https://www.ich.org/page/multidisciplinary-guidelines
